,2341338,2341310,2341311,2341324,2341324,2341324,2341324,2341324,13_007,13_727
2341338,0.0,2.99,3.585,2.871,2.854,3.386,3.337,3.227,3.124,2.682
2341310,2.99,0.0,1.149,0.712,0.529,0.912,0.681,1.002,0.367,0.739
2341311,3.585,1.149,0.0,0.754,1.166,0.373,0.857,0.51,1.124,1.553
2341324,2.871,0.712,0.754,0.0,0.752,0.527,0.831,0.596,0.84,1.083
2341324,2.854,0.529,1.166,0.752,0.0,1.064,0.506,0.803,0.347,0.388
2341324,3.386,0.912,0.373,0.527,1.064,0.0,0.867,0.636,1.001,1.44
2341324,3.337,0.681,0.857,0.831,0.506,0.867,0.0,0.618,0.401,0.835
2341324,3.227,1.002,0.51,0.596,0.803,0.636,0.618,0.0,0.895,1.17
13_007,3.124,0.367,1.124,0.84,0.347,1.001,0.401,0.895,0.0,0.588
13_727,2.682,0.739,1.553,1.083,0.388,1.44,0.835,1.17,0.588,0.0
