,2341338,2341310,2341311,2341324,2341324,2341324,2341324,2341324,13_007,13_727
2341338,0.0,3.508,5.219,3.968,3.583,4.665,4.362,4.781,3.695,3.048
2341310,3.508,0.0,1.833,1.171,0.778,1.279,0.975,1.394,0.595,1.252
2341311,5.219,1.833,0.0,1.251,1.636,0.554,0.857,0.865,1.524,2.171
2341324,3.968,1.171,1.251,0.0,1.045,0.758,1.394,0.813,1.157,1.224
2341324,3.583,0.778,1.636,1.045,0.0,1.508,0.778,1.197,0.477,0.535
2341324,4.665,1.279,0.554,0.758,1.508,0.0,1.269,0.982,1.031,1.983
2341324,4.362,0.975,0.857,1.394,0.778,1.269,0.0,1.008,0.666,1.313
2341324,4.781,1.394,0.865,0.813,1.197,0.982,1.008,0.0,1.38,1.732
13_007,3.695,0.595,1.524,1.157,0.477,1.031,0.666,1.38,0.0,0.952
13_727,3.048,1.252,2.171,1.224,0.535,1.983,1.313,1.732,0.952,0.0
